Nome,Punteggio,Fantamedia anno 2024-2025,Fantamedia anno 2023-2024,Fantamedia anno 2022-2023,Presenze 2024-2025,Fanta Media 2024-2025,FM su tot gare 2024-2025,Presenze previste,Gol previsti,Assist previsti,Ruolo,Skills,Buon investimento,Resistenza infortuni,Consigliato prossima giornata,Nuovo acquisto,Infortunato,Squadra,Trend,Presenze campionato corrente
BELAHYANE REDA,75,5.58,6.00,nd,24,5.58,3.52,11/20,0/3,0/3,CEN,"['Titolare', 'Buona Media', 'Giovane talento']",40,60,False,False,False,Lazio,DOWN,24
ROVELLA NICOLO,75,6.02,6.08,6.16,31,6.02,4.91,11/20,0/2,0/3,CEN,"['Panchinaro', 'Buona Media', 'Piazzati', 'Giovane talento']",40,60,False,False,False,Lazio,DOWN,31
COULIBALY LASSANA,75,6.03,5.66,6.23,35,6.03,5.55,30+,0/3,0/3,CEN,"['Panchinaro', 'Buona Media']",40,60,True,False,False,Lecce,UP,35
CAQUERET MAXENCE,75,6.82,nd,nd,17,6.82,3.05,11/20,0/2,0/3,CEN,"['Titolare', 'Assistman']",40,60,True,False,False,Como,STABLE,17
THORSTVEDT KRISTIAN,74,nd,6.41,6.20,22,7.13,4.13,0/10,3/5,3/5,CEN,"['Titolare', 'Buona Media', 'Goleador']",40,40,False,False,False,Sassuolo,STABLE,0
ZIELINSKI PIOTR,75,6.34,6.33,6.72,19,6.34,3.17,21/30,4/7,3/5,CEN,"['Outsider', 'Titolare', 'Buona Media', 'Goleador']",80,60,False,False,False,Inter,UP,19
BRESCIANINI MARCO,73,6.43,6.47,nd,21,6.43,3.55,11/20,3/5,3/5,CEN,"['Outsider', 'Panchinaro', 'Goleador', 'Piazzati']",40,60,False,False,False,Atalanta,DOWN,21
FAGIOLI NICOLÒ,73,6.04,6.00,6.59,24,6.04,3.81,21/30,0/3,3/5,CEN,"['Titolare', 'Buona Media', 'Assistman', 'Piazzati']",40,60,True,False,False,Fiorentina,UP,24
FRATTESI DAVIDE,74,6.83,7.00,6.79,20,6.83,3.59,21/30,3/5,0/3,CEN,"['Panchinaro', 'Buona Media', 'Goleador']",40,60,False,False,False,Inter,DOWN,20
FRENDRUP MORTEN,74,6.03,6.41,nd,33,6.03,5.24,30+,0/3,0/2,CEN,"['Titolare', 'Buona Media', 'Falloso']",60,60,False,False,False,Genoa,DOWN,33
JASHARI ARDON,73,nd,nd,nd,25,6.12,4.03,30+,4/7,4/7,CEN,"['Outsider', 'Titolare', 'Buona Media', 'Assistman']",60,100,False,True,False,Milan,STABLE,0
RICCI SAMUELE,73,6.03,5.89,6.30,32,6.03,5.08,21/30,3/5,0/3,CEN,"['Outsider', 'Titolare', 'Buona Media', 'Giovane talento']",40,60,False,True,False,Milan,UP,32
MATIC NEMANJA,72,nd,nd,6.32,29,0.00,0.00,11/20,0/3,3/5,CEN,"['Titolare', 'Buona Media', 'Assistman', 'Falloso']",60,60,True,True,False,Sassuolo,STABLE,0
VECINO MATIAS,72,6.44,6.85,6.05,18,6.44,3.05,21/30,3/5,0/3,CEN,"['Panchinaro', 'Buona Media']",40,60,False,False,False,Lazio,DOWN,18
ASLLANI KRISTJAN,71,6.63,6.53,5.85,15,6.63,2.62,11/20,0/3,0/3,CEN,"['Panchinaro', 'Assistman']",40,60,True,True,False,Torino,UP,15
PERRONE MAXIMO,71,5.94,nd,nd,24,5.94,3.75,11/20,0/2,0/2,CEN,"['Titolare', 'Falloso']",20,60,True,False,False,Como,STABLE,24
BARAK ANTONIN,71,5.50,6.71,5.96,1,5.50,0.14,0/10,0/3,0/3,CEN,"['Panchinaro', 'Goleador', 'Assistman']",40,40,False,False,False,Fiorentina,DOWN,1
